Book Date,  Description,  Book Balance,  Credit,  Debit,  Value Date,  Ref/Chq NO,  Transaction Branch
1/1/2026,Opening balance,"-160,915,984.51",,,,,
, AUTO INTEREST PAYMENT ON WCDL AGAINST 572LN01253370003,,,"-1,613,836.00", 01/01/2026, 572LN01253370003, SECTOR-53
, ODEX INDIA SOL-1100B0226012139,,,"-92,526.16", 01/01/2026, HDFCH00707732288," NETBANK, MUMBAI"
, 601019028430CMR YES BANK,,,"-100,000.00", 01/01/2026, HDFCH00708794115," NETBANK, MUMBAI"
, FT601019028509-CMR NIKKEI INDIA PVT LTD 1274 FT-00930310001274,," 50,000,000.00",, 01/01/2026, 601019028509," NETBANK, MUMBAI"
, CHCEJB3172CW6G-CBICICEGATE,,,"-8,247,847.00", 01/01/2026, 601018646128," NETBANK, MUMBAI"
, CHCE7HG172DHVI-CBICICEGATE,,,"-8,102,330.00", 01/01/2026, 601018651203," NETBANK, MUMBAI"
1/2/2026,Opening balance,"-129,072,523.67",,,,,
, AUTO WCDL LIQUIDATED AGAINST 572LN01253370003,,,"-70,872,818.00", 02/01/2026, 572LN01253370003, SECTOR-53
, AUTO INTEREST PAYMENT ON WCDL AGAINST 572LN01253370003,,,"-54,658.00", 02/01/2026, 572LN01253370003, SECTOR-53
, IMPS CR ECMS-9211-CMRGR1100LCU101110-OMNAMOMETAL-922020066935237,," 282,000.00",, 02/01/2026, 600228343982, FARIDABAD HARYANA
, WCDL LIQUIDATED AGAINST 572LN01253370003,,,"-229,127,182.00", 02/01/2026, 572LN01253370003, FARIDABAD HARYANA
, COMM ON LIQD OF IMP COLL BILL,,,-177, 02/01/2026, 612BC05260020001," KUNDLI, SONEPAT"
, RTGS Cr ECMS-UTIB0000310-CMRLTD201LCU101189-KRISHNA METALS-924030074634765,," 2,950,000.00",, 02/01/2026, UTIBR62026010247570582, FORT
, 57500000342857-2857,,,"-7,300,000.00", 02/01/2026, 601029846844," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012263,,,"-148,674.10", 02/01/2026, HDFCH00710467375," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012264,,,"-279,539.64", 02/01/2026, HDFCH00710468104," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012249,,,"-280,639.40", 02/01/2026, HDFCH00710471369," NETBANK, MUMBAI"
, CMA CGM AGENCI-1100B0226012261,,,"-19,666.52", 02/01/2026, HDFCH00710472664," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012250,,,"-452,226.57", 02/01/2026, HDFCH00710470214," NETBANK, MUMBAI"
, ODEX INDIA SOL-1100B0226012262,,,"-280,639.40", 02/01/2026, HDFCH00710472774," NETBANK, MUMBAI"
, RTGS Cr-KKBK0000958-CMR Green Technologies Limited-CMR Green Technologies Limited-KKBKR52025123100466726,," 30,514,178.10",, 02/01/2026, KKBKR52025123100466726, FORT
, FT CR ECMS-CMRGR1100LCU101874-JSN RECYCLING-50200066284760,," 110,000.00",, 02/01/2026, 000396, ANSARI ROAD
, WCDL DISBURSED AGAINST 572LN01260020005,," 300,000,000.00",, 02/01/2026, 572LN01260020005, SECTOR-53
, FT Cr ECMS-CMRGR1100LCU101315-HERO MOTOCORP LIMITED 315-00030110000315,," 10,868,976.74",, 02/01/2026, 601029613091," NETBANK, MUMBAI"
, COMM ON LIQD OF IMP COLL BILL,,,-177, 02/01/2026, 612BC05260020004," KUNDLI, SONEPAT"
, NEFT Cr-KKBK0000958-Kotak Mahindra Bank-CMR GREEN TECHNOLOGIES LIMITED-KKBKH26002685712,," 5,225.36",, 02/01/2026, KKBKH26002685712, FORT
, FT Cr ECMS-CMRLTD202LCU100983-TOLA TRADING AND CASTING WORKS-50200035571033,," 655,500.00",, 02/01/2026, NBVOWCAMVTN3MHZO," NETBANK, MUMBAI"
, AUTO SWEEPOUT TO CMR GREEN TECHNOLOGI 57500000342857,," 188,012.90",, 02/01/2026,, FARIDABAD HARYANA
1/3/2026,Opening balance,"-92,315,028.20",,,,,
, RTGS Cr ECMS-MAHB0000782-CMRGR1100LCU101872-SHRI KRISHNA METAL EXTRUDERS P-00000060403068056,," 8,817,500.00",, 03/01/2026, MAHBR52026010322589437, FORT
, RTGS Cr ECMS-KKBK0000958-CMRGR1100LCU101760-NIA METALS-3347508444,," 280,000.00",, 03/01/2026, KKBKR52026010300731477, FORT
, NEFT Cr ECMS-ICIC0SF0002-CMRGR1100LCU101579-SHIVAANYA METAL - ALLOYS-032705008599,," 49,000.00",, 03/01/2026, IN42600353811650, FORT
, IMPS CR ECMS-9211-CMRGR1100LCU101769-NAEEMJAVED-919020035458367,," 8,000.00",, 03/01/2026, 600332497290, FARIDABAD HARYANA
, COMM ON EXPORT COLL BILL,,,-177, 03/01/2026, 612BC73260030016," KUNDLI, SONEPAT"
, COMM ON EXPORT COLL BILL,,,-177, 03/01/2026, 612BC63260030003," KUNDLI, SONEPAT"
, COMM ON EXPORT COLL BILL,,,-177, 03/01/2026, 612BC73260030017," KUNDLI, SONEPAT"
, COMM ON EXPORT COLL BILL,,,-177, 03/01/2026, 612BC63260030004," KUNDLI, SONEPAT"
, COMM ON EXPORT COLL BILL,,,-177, 03/01/2026, 612BC73260030018," KUNDLI, SONEPAT"
, COMM ON EXPORT COLL BILL,,,-177, 03/01/2026, 612BC63260030005," KUNDLI, SONEPAT"
, COMM ON EXPORT COLL BILL,,,-177, 03/01/2026, 612BC63260030006," KUNDLI, SONEPAT"
, RTGS Cr ECMS-BARB0BLYALI-CMRLTD201LCU100188-TAJ METALS-26880500003723,," 550,000.00",, 03/01/2026, BARBR52026010300905921, FORT
, FT CR ECMS-CMRGE1100LCU101955-JIO BRICKS-50200070195322,," 50,000.00",, 03/01/2026, 000062, HARIJ
, RTGS Cr ECMS-SBIN0004849-CMRGR1100LCU101784-ZINIC ENTERPRISES-42150693862,," 3,110,600.00",, 03/01/2026, SBINR12026010311669796, FORT
, FT Cr ECMS-CMRLTD201LCU100820-MOHINI INDUSTRIES-50200033588193,," 1,343,000.00",, 03/01/2026, NBFLZFIYSAMWVMOU," NETBANK, MUMBAI"
, RTGS Cr ECMS-BARB0BLYALI-CMRLTD201LCU100188-TAJ METALS-26880500003723,," 255,000.00",, 03/01/2026, BARBR52026010300932999, FORT
, FT- 1400508425 - 0023017416 - 57500000579710 -RICO AUTO INDUSTRIES LTD,," 10,949,538.92",, 03/01/2026, 1400508425, CBX Internet System Mumbai
, IMPS-600317552307-MARUTIS MARUTI SUZUKI INDIA LIMITED-KKBK-xxxxxxxxxx2754-KKBKTransfer,, 1.00,, 03/01/2026, 600317552307, FARIDABAD HARYANA
, IMPS-600317553410-MARUTIS MARUTI SUZUKI INDIA LIMITED-KKBK-xxxxxxxxxx2754-KKBKTransfer,, 1.00,, 03/01/2026, 600317553410, FARIDABAD HARYANA
, RTGS Cr-YESB0000403-TRADE CLEARING ACCOUNT-CMR GREEN TECHNOLOGIES LIMITED-YESBR52026010356919248,," 3,871,796.00",, 03/01/2026, YESBR52026010356919248, FORT
, RTGS Cr-YESB0000403-TRADE CLEARING ACCOUNT-CMR GREEN TECHNOLOGIES LIMITED-YESBR52026010356919200,," 6,255,407.00",, 03/01/2026, YESBR52026010356919200, FORT
, RTGS Cr-YESB0000403-TRADE CLEARING ACCOUNT-CMR GREEN TECHNOLOGIES LIMITED-YESBR52026010356918925,," 5,244,455.00",, 03/01/2026, YESBR52026010356918925, FORT
