Company_Code,Transaction_Type,Transaction_Type_Description,Transaction_Category_Label,Document_Number,Line_Number,Document_Date,Document_Entry_Date,Transaction_Date,Fiscal_Year,Fiscal_Period,Bank_GL_Account,GL_Account_Description,Account_Type,Account_Normal_Balance,Account_L1_Group,Account_L2_Group,Account_L3_Group,Site_Code,Site_Description,Reference,Transaction_Currency,Amount,Amount_in_Home_Curr,Debit_Credit_Flag,Debit_Credit_Label,Rate_Type,Business_Partner_Code,Business_Partner_Description,Business_Partner_Type,Business_Partner_City,Business_Partner_State,Contra_Transaction_Type,Contra_Invoice_Number,Transaction_Category,User_Name
1100,B02,HDFC CMRG-00930310001240,Cash,26002146,2,17/05/25,17/05/25,17/05/25,2025,2,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,30,2567.7,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25015670,2,06/02/25,06/02/25,06/02/25,2024,11,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,48,4177.92,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,26015624,2,23/02/26,23/02/26,23/02/26,2025,11,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,39.85,3623.96,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,26001512,2,03/05/25,03/05/25,03/05/25,2025,2,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,39,3276.78,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,27000300,2,07/04/26,07/04/26,07/04/26,2026,1,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,3.98,369.38,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25003048,2,12/06/24,12/06/24,12/06/24,2024,3,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,5,416.55,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,26015679,2,24/02/26,24/02/26,24/02/26,2025,11,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,29.3,2660.73,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,27001564,2,23/04/26,23/04/26,23/04/26,2026,1,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,30,2812.2,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25004063,52,01/07/24,01/07/24,01/08/24,2024,4,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,INR,100000,100000,2,Credit,SLS,LCU101524,MAA DURGA ENTERP,Local Customer,,,B02,25004063,10,gautams
1100,B02,HDFC CMRG-00930310001240,Cash,26002324,2,22/05/25,22/05/25,22/05/25,2025,2,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,25,2133.75,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25002184,2,24/05/24,24/05/24,24/05/24,2024,2,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,10,832.1,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25001539,2,11/05/24,11/05/24,11/05/24,2024,2,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,8,666.72,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,26003479,2,18/06/25,18/06/25,18/06/25,2025,3,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,5,430.1,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,26015681,2,24/02/26,24/02/26,24/02/26,2025,11,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,40,3632.4,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,26003506,2,18/06/25,18/06/25,18/06/25,2025,3,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,5,430.1,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,27001951,2,28/04/26,28/04/26,28/04/26,2026,1,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,14,1318.1,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,27001952,2,28/04/26,28/04/26,28/04/26,2026,1,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,5,470.75,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25004063,51,01/07/24,01/07/24,01/08/24,2024,4,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,INR,100000,100000,1,Debit,SLS,LCU101524,MAA DURGA ENTERP,Local Customer,,,B02,25004063,10,gautams
1100,B02,HDFC CMRG-00930310001240,Cash,25004063,60,01/07/24,01/07/24,01/08/24,2024,4,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,INR,100000,100000,2,Credit,SLS,LCU101618,MAHAKALESHWAR EN,Local Customer,,,B02,25004063,10,gautams
1100,B02,HDFC CMRG-00930310001240,Cash,27003856,2,22/05/26,22/05/26,22/05/26,2026,2,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,4,386.84,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25016804,2,27/02/25,27/02/25,27/02/25,2024,11,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,30,2600.7,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25003157,2,15/06/24,15/06/24,15/06/24,2024,3,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,15.5,1290.22,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25001543,2,11/05/24,11/05/24,11/05/24,2024,2,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,0.2,16.6,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25001278,2,03/05/24,03/05/24,06/05/24,2024,2,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,20,1665,2,Credit,PUR,,,,,,,0,10,gautams
1100,B02,HDFC CMRG-00930310001240,Cash,25003233,2,17/06/24,17/06/24,17/06/24,2024,3,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,5,416.55,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,26002155,2,17/05/25,17/05/25,17/05/25,2025,2,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,30,2562.3,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25016767,2,26/02/25,26/02/25,26/02/25,2024,11,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,20,1742.2,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,26001808,2,12/05/25,12/05/25,12/05/25,2025,2,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,5,426.91,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25013659,2,31/12/24,31/12/24,31/12/24,2024,9,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,22.56,1924.2,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25002348,2,28/05/24,28/05/24,28/05/24,2024,2,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,15.5,1289.76,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25014705,2,17/01/25,17/01/25,17/01/25,2024,10,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,38.91,3367.66,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,26002896,2,04/06/25,04/06/25,04/06/25,2025,3,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,24,2052.24,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25011318,2,18/11/24,18/11/24,18/11/24,2024,8,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,40.91,3449.12,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25016448,2,20/02/25,20/02/25,20/02/25,2024,11,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,9.8,852.04,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25002943,2,10/06/24,10/06/24,10/06/24,2024,3,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,35,2915.85,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,26001062,2,24/04/25,24/04/25,24/04/25,2025,1,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,17.43,1487.65,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,27007681,2,09/07/26,09/07/26,09/07/26,2026,4,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,30,2866.2,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,26009838,2,11/11/25,11/11/25,11/11/25,2025,8,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,0.01,0.89,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,27003081,2,12/05/26,12/05/26,12/05/26,2026,2,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,40,3805.6,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25016916,2,28/02/25,28/02/25,28/02/25,2024,11,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,38.91,3390.23,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,26012090,2,30/12/25,30/12/25,30/12/25,2025,9,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,10,899.1,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,26017908,2,26/03/26,26/03/26,26/03/26,2025,12,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,43,4031.25,2,Credit,PUR,,,,,,,0,10,job
1100,B02,HDFC CMRG-00930310001240,Cash,25006105,2,21/08/24,21/08/24,21/08/24,2024,5,BS2030202001,HDFC CMR - 00930310001240,Balance Sheet,Credit,Current liabilities,Borrowings,Cash Credits,CMR-HO,"CMR Green Corporate, Haryana",,USD,5,418.55,2,Credit,PUR,,,,,,,0,10,job
