invoice_id,customer_id,invoice_number,document_number,issue_date,due_date,total_amount,status,credit_notes,debit_notes,tds_allowed_pct
INV-101,CUST-001,INV-2026-101,10A001,07/01/26,07/31/26,10000,Open,0,0,0
INV-102,CUST-002,INV-2026-102,15B002,07/02/26,08/01/26,15000,Open,0,0,10
INV-103,CUST-002,INV-2026-103,22C003,07/05/26,08/04/26,9000,Open,0,0,0
INV-104,CUST-002,INV-2026-104,18D004,07/06/26,08/05/26,6000,Open,0,0,0
INV-105,CUST-002,INV-2026-105,09E005,07/08/26,08/07/26,3000,Open,0,0,0
INV-106,CUST-003,INV-2026-106,33F006,07/03/26,08/02/26,8000,Open,0,0,0
INV-107,CUST-003,INV-2026-107,41G007,07/16/26,08/15/26,4000,Open,0,0,0
INV-108,CUST-004,INV-2026-108,27H008,07/04/26,08/03/26,12000,Open,0,0,0
INV-109,CUST-004,INV-2026-109,55I009,06/20/26,07/20/26,7000,Open,0,0,0
INV-110,CUST-004,INV-2026-110,63J010,06/10/26,07/10/26,4000,Open,0,0,0
INV-111,CUST-005,INV-2026-111,71K011,07/07/26,08/06/26,5000,Open,0,0,0
INV-112,CUST-005,INV-2026-112,82L012,07/08/26,08/07/26,7000,Open,0,0,0
INV-113,CUST-006,INV-2026-113,90M013,07/09/26,08/08/26,9000,Open,0,0,0
INV-114,CUST-007,INV-2026-114,45A211,07/10/26,08/09/26,6000,Open,0,0,0
INV-115,CUST-008,INV-2026-115,78K934,07/11/26,08/10/26,11000,Open,0,0,0
INV-116,CUST-009,INV-2026-116,12M567,07/12/26,08/11/26,18000,Open,0,0,0
INV-117,CUST-010,INV-2026-117,39N014,07/13/26,08/12/26,18000,Open,0,0,0
INV-118,CUST-011,INV-2026-118,47O015,07/14/26,08/13/26,4500,Open,0,0,0
INV-119,CUST-011,INV-2026-119,58P016,07/14/26,08/13/26,4500,Open,0,0,0
